Person title (if any),Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
(Director),Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöf,Sweden,Sweden,Member,Agriculture
"Prof
(Honorary director of the French Meteorological Bureau)",Angot,Alfred,1848,1924,French Central Meteorological Bureau,Paris,Paris,France,France,President,Meteorology
,Azzi,Girolamo,1885,1969,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Agriculture
"Rev. Chaplain-Colonel
(Director)",Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
"Révérend Père
(Director)",Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),Lebanon,Member,Meteorology
(Chief Climatologist),Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
(Vice-President),Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
Prof,Engler,Arnold,1869,1923,ETH and Swiss Federal Institute for Forestry Research,Zurich,Zurich,Switzerland,Switzerland,Member,Agriculture
(Chief),Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
"Prof Dr
(Director)",Fontseré i Riba,Eduardo,1870,1970,Aerological Station,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
(Director),Galbis,José,1868,1952,Geographical Service,Madrid,Madrid,Spain,Spain,Member,Geography
Prof,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
Prof,van Gulik,Dirk,1868,1935,Wageningen Agricultural College,Wageningen,Wageningen,The Netherlands,The Netherlands,Member,Meteorology
Prof,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
"Prof
(Director)",Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Christiania,Oslo,Norway,Norway,Member,Meteorology
,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
"Prof
(Director)",Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
"Prof
(Director)",Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
Prof Dr,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
(Inspector general),Rey,Pierre,1876,1946,Agricultural Meteorological Service,Paris,Paris,France,France,Member,Agriculture
"Captain
(Director)",Ryder,Carl H.,1858,1923,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
Dr,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
(Chief),Smith,John Warren,1863,1940,"Division of Agricultural Meteorology, US Weather Bureau",Washington,Washington,United States,United States,Member,Agriculture
Prof Dr,Taylor,Thomas Griffith,1880,1963,"Department of Geography, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
"Dr
(Director)",Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Secretary,Meteorology
(Director),Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
Prof,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
,Whipple,Francis John Welsh,1876,1943,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
